covariate,smd_all,smd_matched,bs_id
distance,1.10998484333159,0.00154518806859291,b00
tree_cover,0.289726994325443,0.0687218891726214,b00
forest_type,0.334334667948543,0.0528253276846384,b00
ppt,1.39868766620665,0.12767317479562,b00
dist_flowline,0.0839230761751761,0.0180995118933981,b00
density_flowline,0.760474854096581,0.0397422262468827,b00
wet_freq_z,0.253945370274057,0.0316439203850407,b00
wet_sev_z,0.905477947947009,0.000194162138277431,b00
wet_freq,0.315578863317709,0.0802021079509962,b00
tmax_z,0.155894016729437,0.0190461294384426,b00
spei_freq,0.586264231685179,0.00113297968485852,b00
insect_defo,0.0658869190908365,0.0130729678232043,b00
insect_mort,0.0210210909923344,0.0176951522877145,b00
hurr_ws,0,0,b00
regionatlantic,0.0966939229653534,0.0119159532220709,b00
regionlakes,0.950021997546438,0.0219705305094627,b00
regionpacific,1.75431710483235,0.0675717469126091,b00
tpa_live,0.475976147138802,0.0032590419947694,b00
distance,1.08589915324378,0.00173733250716902,b01
tree_cover,0.299309580300999,0.068418937751716,b01
forest_type,0.316508267372424,0.0543747587353777,b01
ppt,1.31769944611013,0.11750302771563,b01
dist_flowline,0.100369993646472,0.0118730933621707,b01
density_flowline,0.742637619020225,0.0434599090607174,b01
wet_freq_z,0.278953533427867,0.0291920323851517,b01
wet_sev_z,0.877727339820312,0.00771372051447089,b01
wet_freq,0.332605615144459,0.0773230502778459,b01
tmax_z,0.16566512690314,0.0324194159840391,b01
spei_freq,0.553282548797175,0.0065184086565687,b01
insect_defo,0.0508992342346801,0.0240565967496551,b01
insect_mort,0.0266296888307308,0.0214345772710717,b01
hurr_ws,0,0,b01
regionatlantic,0.0944656354546125,0.0211118231003393,b01
regionlakes,0.918471620325577,0.0193207384353486,b01
regionpacific,1.61796790018314,0.075853411221953,b01
tpa_live,0.456291261098916,0.0104434442277258,b01
distance,1.10349047915449,0.00188166736286621,b02
tree_cover,0.293636829590209,0.0710611078838138,b02
forest_type,0.313297046532679,0.0544587077941013,b02
ppt,1.37669083857613,0.145351587420788,b02
dist_flowline,0.088813868478677,0.0233018215713017,b02
density_flowline,0.748774247928283,0.0587019157827625,b02
wet_freq_z,0.269921763131055,0.0391685584235674,b02
wet_sev_z,0.904325044834723,0.02409782051082,b02
wet_freq,0.312893579559904,0.0848288782936142,b02
tmax_z,0.162828713721736,0.00630416684351512,b02
spei_freq,0.57005692836595,0.00488609360809992,b02
insect_defo,0.0628446219347527,0.00274099945571573,b02
insect_mort,0.0257869655506636,0.0351382500193392,b02
hurr_ws,0,0,b02
regionatlantic,0.11151407407153,0.019136960092346,b02
regionlakes,0.955728879030504,0.0227362798068239,b02
regionpacific,1.69858745827252,0.08086629085026,b02
tpa_live,0.466565343291339,0.0242187181084236,b02
distance,1.09603378373796,0.00168236483949419,b03
tree_cover,0.288900721388835,0.0811565341425733,b03
forest_type,0.313288117171994,0.0501789653608388,b03
ppt,1.335907444332,0.112244188846665,b03
dist_flowline,0.0896784257053599,0.00874685569886488,b03
density_flowline,0.735665831898174,0.0471623494465543,b03
wet_freq_z,0.26932406083914,0.0466624849367215,b03
wet_sev_z,0.904167712472887,0.0118207765315815,b03
wet_freq,0.326132173963974,0.081686038810303,b03
tmax_z,0.158514787490946,0.0264930598469332,b03
spei_freq,0.602959861437877,0.00505265601656584,b03
