region,group4,mean,ymin,lower,middle,upper,ymax
Atlantic,Non-wetland: > 5 m,1.00493500968921,0,0.0833333358168602,0.416666686534882,1.16666662693024,2.66666674613953
Atlantic,Wetland: > 5 m,2.19502668951378,0,0.109090909361839,0.555555582046509,1.83333337306976,5.91666650772095
Atlantic,Wetland: < 5 m,2.44350098264606,0,0.0545454546809197,0.636363625526428,2.38888883590698,7.19444465637207
Atlantic,Non-wetland: < 5 m,1.0318303789559,0,0,0.400000005960465,1.08333337306976,2.65000009536743
Gulf,Wetland: < 5 m,4.00658618914707,0.0555555559694767,0.388888895511627,1.22222220897675,4.19999980926514,12.1388893127441
Gulf,Wetland: > 5 m,3.29063254637276,0,0.25,0.9375,3.41666674613953,9.625
Gulf,Non-wetland: < 5 m,2.19409536222934,0,0.305555552244186,0.888888895511627,2.54545450210571,6
Gulf,Non-wetland: > 5 m,1.49389714071301,0,0.25,0.694444477558136,1.66666662693024,3.66666674613953
Lakes,Wetland: > 5 m,4.32028997231231,0.454545468091965,1.13636362552643,2.72727274894714,5.69696950912476,10.2816669464115
Lakes,Wetland: < 5 m,4.75184730056331,0.363636374473572,1.12121212482452,3,6.40909099578857,11.3181819915771
Lakes,Non-wetland: > 5 m,1.63784138092549,0.121212124824524,0.363636374473572,0.878787875175476,1.93939399719238,3.87878799438477
Lakes,Non-wetland: < 5 m,2.54601043965888,0.181818187236786,0.575757563114166,1.54545450210571,3.36363625526428,6.11111116409302
Pacific,Non-wetland: > 5 m,1.04900940419325,0,0.25,0.583333313465118,1.22222220897675,2.33333325386047
Pacific,Wetland: > 5 m,1.25359709641269,0,0.25,0.666666686534882,1.5,3
Pacific,Non-wetland: < 5 m,1.13152279874962,0,0.25,0.583333313465118,1.33333337306976,2.58333325386047
Pacific,Wetland: < 5 m,1.30214705710633,0,0.25,0.666666686534882,1.58333337306976,3.16666674613953
